dataset: Skin_NonSkin.csv
time_cons: 255.9802701473236 s
mem_cons: 93317.5673828125 KB
precision: {'1.0': 0.83359375, '2.0': 0.8121386072236655}
recall: {'1.0': 0.10633844927247359, '2.0': 0.9945353789317051}
f1: {'1.0': 0.1886158741382358, '2.0': 0.8941298581478492}
result: 
{'label': ['0.0', '3.0', '182.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['42.0', '206.0', '219.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['139.0', '142.0', '93.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '177.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['155.0', '175.0', '230.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['181.0', '181.0', '141.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['144.0', '142.0', '88.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['167.0', '166.0', '115.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['158.0', '161.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['182.0', '182.0', '136.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['54.0', '55.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['60.0', '62.0', '20.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['33.0', '34.0', '32.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['144.0', '141.0', '90.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['110.0', '113.0', '64.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['164.0', '163.0', '113.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['49.0', '50.0', '34.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['58.0', '60.0', '24.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['184.0', '182.0', '134.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '177.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['90.0', '88.0', '34.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['170.0', '161.0', '111.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['143.0', '142.0', '91.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['190.0', '191.0', '147.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['157.0', '195.0', '253.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['22.0', '21.0', '7.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['42.0', '97.0', '154.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['196.0', '195.0', '157.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['188.0', '187.0', '143.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['248.0', '250.0', '250.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['69.0', '70.0', '28.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['100.0', '95.0', '156.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['163.0', '168.0', '117.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['130.0', '127.0', '76.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['156.0', '159.0', '110.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['76.0', '79.0', '34.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['169.0', '167.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '177.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['113.0', '152.0', '214.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['6.0', '3.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['201.0', '199.0', '164.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['198.0', '197.0', '159.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['79.0', '74.0', '76.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '176.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['96.0', '33.0', '5.0'], 'gt': '2.0', 'pred': '1.0'}
{'label': ['2.0', '2.0', '2.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['233.0', '172.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['227.0', '208.0', '205.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['63.0', '68.0', '23.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['161.0', '165.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['255.0', '254.0', '255.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['240.0', '234.0', '229.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['128.0', '255.0', '255.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '177.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['151.0', '152.0', '102.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['42.0', '46.0', '11.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['111.0', '59.0', '42.0'], 'gt': '2.0', 'pred': '1.0'}
{'label': ['145.0', '146.0', '96.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '176.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['163.0', '164.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['60.0', '124.0', '189.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['244.0', '175.0', '166.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['197.0', '196.0', '158.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['147.0', '185.0', '233.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['50.0', '50.0', '14.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['160.0', '154.0', '159.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['81.0', '82.0', '32.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['114.0', '116.0', '57.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['110.0', '122.0', '234.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['92.0', '195.0', '220.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['25.0', '28.0', '13.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['67.0', '69.0', '23.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '176.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['185.0', '183.0', '143.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['177.0', '174.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['124.0', '164.0', '216.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['30.0', '29.0', '3.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['16.0', '15.0', '1.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['171.0', '172.0', '122.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['79.0', '0.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['60.0', '118.0', '183.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['39.0', '253.0', '247.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['135.0', '137.0', '91.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['96.0', '137.0', '192.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '177.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['78.0', '51.0', '208.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['96.0', '93.0', '42.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '179.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['114.0', '113.0', '55.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['155.0', '156.0', '116.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['21.0', '15.0', '2.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '209.0', '252.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['96.0', '132.0', '202.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['55.0', '56.0', '22.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '179.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['68.0', '65.0', '51.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['193.0', '191.0', '151.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['139.0', '141.0', '89.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['138.0', '140.0', '88.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['120.0', '152.0', '218.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['51.0', '105.0', '165.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['184.0', '181.0', '137.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['95.0', '92.0', '41.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['110.0', '109.0', '51.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '167.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['43.0', '46.0', '44.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['79.0', '87.0', '127.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['182.0', '179.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['219.0', '203.0', '191.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['43.0', '169.0', '26.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '176.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['249.0', '244.0', '241.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['145.0', '147.0', '105.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['53.0', '57.0', '22.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['135.0', '170.0', '226.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['108.0', '150.0', '221.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['179.0', '176.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['99.0', '46.0', '33.0'], 'gt': '2.0', 'pred': '1.0'}
{'label': ['179.0', '176.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['68.0', '69.0', '25.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['57.0', '54.0', '46.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['176.0', '175.0', '125.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['108.0', '132.0', '192.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['52.0', '168.0', '99.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['62.0', '62.0', '22.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['43.0', '102.0', '147.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['172.0', '175.0', '136.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['152.0', '151.0', '100.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['108.0', '136.0', '171.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['196.0', '195.0', '161.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['100.0', '103.0', '81.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['73.0', '82.0', '125.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['161.0', '160.0', '109.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['83.0', '85.0', '33.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['49.0', '95.0', '142.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['54.0', '55.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['158.0', '193.0', '243.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['177.0', '176.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['194.0', '193.0', '155.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['2.0', '0.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['182.0', '181.0', '137.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['171.0', '166.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['55.0', '55.0', '19.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['139.0', '172.0', '218.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['188.0', '186.0', '145.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '198.0', '160.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['185.0', '187.0', '145.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['32.0', '221.0', '254.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['190.0', '190.0', '150.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['62.0', '60.0', '26.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['162.0', '118.0', '25.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['37.0', '36.0', '8.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '198.0', '163.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['255.0', '215.0', '228.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '163.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['172.0', '171.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['136.0', '166.0', '231.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['119.0', '153.0', '213.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['136.0', '139.0', '90.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['192.0', '192.0', '152.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['66.0', '65.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['132.0', '135.0', '96.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['135.0', '138.0', '93.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['106.0', '155.0', '223.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['174.0', '171.0', '126.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['109.0', '109.0', '55.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['115.0', '145.0', '194.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['183.0', '180.0', '136.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['142.0', '141.0', '85.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['82.0', '84.0', '32.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['108.0', '145.0', '213.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['192.0', '193.0', '151.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['170.0', '169.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['52.0', '102.0', '155.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['223.0', '244.0', '189.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['154.0', '159.0', '120.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['42.0', '77.0', '50.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['195.0', '193.0', '152.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['176.0', '174.0', '126.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['187.0', '186.0', '142.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['33.0', '35.0', '6.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '198.0', '158.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['98.0', '101.0', '51.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['54.0', '53.0', '15.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['150.0', '190.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['157.0', '161.0', '126.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['60.0', '120.0', '186.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['51.0', '57.0', '16.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['164.0', '170.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['170.0', '169.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['175.0', '172.0', '127.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['255.0', '255.0', '255.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['102.0', '101.0', '45.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['122.0', '123.0', '73.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['130.0', '139.0', '89.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '177.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['149.0', '152.0', '103.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['142.0', '181.0', '225.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['16.0', '24.0', '7.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['168.0', '167.0', '117.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['196.0', '194.0', '163.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['115.0', '157.0', '210.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['164.0', '163.0', '113.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['166.0', '165.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['187.0', '186.0', '142.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['124.0', '148.0', '206.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['204.0', '202.0', '168.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['189.0', '188.0', '144.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '178.0', '138.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['155.0', '154.0', '104.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['157.0', '194.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['175.0', '180.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['113.0', '112.0', '54.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['140.0', '138.0', '84.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['160.0', '163.0', '124.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['242.0', '231.0', '223.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['162.0', '164.0', '122.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['172.0', '171.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['181.0', '178.0', '134.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['177.0', '173.0', '138.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['168.0', '165.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['170.0', '169.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['35.0', '36.0', '10.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['140.0', '139.0', '89.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['43.0', '44.0', '12.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['197.0', '195.0', '160.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '177.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['148.0', '149.0', '99.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['128.0', '128.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['165.0', '163.0', '115.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '178.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['104.0', '135.0', '190.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['74.0', '77.0', '32.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['149.0', '184.0', '228.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['176.0', '148.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['110.0', '75.0', '89.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['146.0', '188.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['99.0', '147.0', '219.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['44.0', '96.0', '156.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['201.0', '200.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['100.0', '135.0', '199.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['248.0', '212.0', '206.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['100.0', '99.0', '85.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['161.0', '165.0', '124.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['6.0', '0.0', '157.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['191.0', '191.0', '145.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['53.0', '53.0', '17.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['172.0', '171.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['166.0', '169.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['135.0', '134.0', '84.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['150.0', '153.0', '107.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['54.0', '103.0', '159.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['52.0', '111.0', '173.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['159.0', '160.0', '110.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['32.0', '33.0', '7.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['152.0', '123.0', '108.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['173.0', '173.0', '127.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '197.0', '159.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '177.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['113.0', '124.0', '235.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['160.0', '163.0', '124.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['173.0', '188.0', '234.0'], 'gt': '1.0', 'pred': '2.0'}
