dataset: Social_Network_Ads.csv
time_cons: 0.19750714302062988 s
mem_cons: 4071.271484375 KB
precision: {'0': 0.8490566037735849, '1': 0.7407407407407407}
recall: {'0': 0.8653846153846154, '1': 0.7142857142857143}
f1: {'0': 0.8571428571428571, '1': 0.7272727272727273}
result: 
{'label': [1, '46.0', '22000.0'], 'gt': '0', 'pred': '1'}
{'label': [1, '33.0', '113000.0'], 'gt': '0', 'pred': '1'}
{'label': [1, '52.0', '138000.0'], 'gt': '1', 'pred': '0'}
{'label': [0, '19.0', '85000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '27.0', '58000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '23.0', '20000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '47.0', '34000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '35.0', '50000.0'], 'gt': '0', 'pred': '0'}
{'label': [0, '56.0', '133000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '54.0', '26000.0'], 'gt': '1', 'pred': '1'}
{'label': [1, '35.0', '47000.0'], 'gt': '0', 'pred': '0'}
{'label': [1, '37.0', '78000.0'], 'gt': '1', 'pred': '0'}
