dataset: australian.csv
time_cons: 0.4670529365539551 s
mem_cons: 4717.240234375 KB
precision: {'0': 0.8, '1': 0.5714285714285714}
recall: {'0': 0.6896551724137931, '1': 0.7058823529411765}
f1: {'0': 0.7407407407407408, '1': 0.6315789473684211}
result: 
{'label': ['1.0', '65.42', '11.0', '2.0', '10.0', '9.0', '20.0', '1.0', '1.0', '7.0', '1.0', '2.0', '22.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '43.25', '25.21', '2.0', '11.0', '8.0', '0.21', '1.0', '1.0', '1.0', '0.0', '2.0', '760.0', '91.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '39.5', '1.625', '2.0', '8.0', '4.0', '1.5', '0.0', '0.0', '0.0', '0.0', '2.0', '0.0', '317.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '18.83', '0.0', '2.0', '11.0', '4.0', '0.665', '0.0', '0.0', '0.0', '0.0', '2.0', '160.0', '2.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '25.58', '0.335', '2.0', '4.0', '8.0', '3.5', '0.0', '0.0', '0.0', '1.0', '2.0', '340.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '60.58', '16.5', '2.0', '11.0', '4.0', '11.0', '1.0', '0.0', '0.0', '1.0', '2.0', '21.0', '10562.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '16.25', '0.835', '2.0', '7.0', '4.0', '0.085', '1.0', '0.0', '0.0', '0.0', '1.0', '200.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '27.75', '1.29', '2.0', '4.0', '8.0', '0.25', '0.0', '0.0', '0.0', '1.0', '1.0', '140.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '32.25', '1.5', '2.0', '8.0', '4.0', '0.25', '0.0', '0.0', '0.0', '1.0', '2.0', '372.0', '123.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '33.5', '1.75', '2.0', '14.0', '8.0', '4.5', '1.0', '1.0', '4.0', '1.0', '2.0', '253.0', '858.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '40.83', '3.5', '2.0', '3.0', '5.0', '0.5', '0.0', '0.0', '0.0', '0.0', '1.0', '1160.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '17.08', '3.29', '2.0', '3.0', '4.0', '0.335', '0.0', '0.0', '0.0', '1.0', '2.0', '140.0', '3.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '33.17', '2.25', '1.0', '13.0', '4.0', '3.5', '0.0', '0.0', '0.0', '1.0', '2.0', '200.0', '142.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '22.58', '10.75', '2.0', '11.0', '4.0', '0.415', '1.0', '1.0', '5.0', '1.0', '2.0', '0.0', '561.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '44.25', '11.0', '1.0', '2.0', '4.0', '1.5', '1.0', '0.0', '0.0', '0.0', '1.0', '0.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '17.67', '0.0', '1.0', '5.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '86.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '20.42', '10.5', '1.0', '14.0', '8.0', '0.0', '0.0', '0.0', '0.0', '1.0', '2.0', '154.0', '33.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '30.5', '6.5', '2.0', '8.0', '5.0', '4.0', '1.0', '1.0', '7.0', '1.0', '2.0', '0.0', '3066.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '20.42', '7.0', '2.0', '8.0', '4.0', '1.625', '1.0', '1.0', '3.0', '0.0', '2.0', '200.0', '1392.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '29.83', '3.5', '2.0', '8.0', '4.0', '0.165', '0.0', '0.0', '0.0', '0.0', '2.0', '216.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '39.17', '2.5', '1.0', '3.0', '8.0', '10.0', '0.0', '0.0', '0.0', '1.0', '1.0', '200.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '30.58', '2.71', '1.0', '7.0', '4.0', '0.125', '0.0', '0.0', '0.0', '1.0', '1.0', '80.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '29.5', '0.46', '2.0', '4.0', '4.0', '0.54', '1.0', '1.0', '4.0', '0.0', '2.0', '380.0', '501.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '27.83', '1.5', '2.0', '9.0', '4.0', '2.0', '1.0', '1.0', '11.0', '1.0', '2.0', '434.0', '36.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '38.33', '4.415', '2.0', '8.0', '4.0', '0.125', '0.0', '0.0', '0.0', '0.0', '2.0', '160.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '21.08', '10.085', '1.0', '10.0', '8.0', '1.25', '0.0', '0.0', '0.0', '0.0', '2.0', '260.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '20.25', '9.96', '2.0', '10.0', '2.0', '0.0', '1.0', '0.0', '0.0', '0.0', '2.0', '0.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '29.58', '1.75', '1.0', '4.0', '4.0', '1.25', '0.0', '0.0', '0.0', '1.0', '2.0', '280.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '71.58', '0.0', '2.0', '8.0', '4.0', '0.0', '0.0', '0.0', '0.0', '0.0', '3.0', '184.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '35.17', '3.75', '2.0', '1.0', '1.0', '0.0', '0.0', '1.0', '6.0', '0.0', '2.0', '0.0', '201.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '32.75', '2.335', '2.0', '2.0', '8.0', '5.75', '0.0', '0.0', '0.0', '1.0', '2.0', '292.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '31.57', '10.5', '2.0', '14.0', '4.0', '6.5', '1.0', '0.0', '0.0', '0.0', '2.0', '0.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '21.0', '4.79', '1.0', '9.0', '4.0', '2.25', '1.0', '1.0', '1.0', '1.0', '2.0', '80.0', '301.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '22.0', '7.835', '1.0', '3.0', '5.0', '0.165', '0.0', '0.0', '0.0', '1.0', '2.0', '184.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '40.58', '5.0', '2.0', '8.0', '4.0', '5.0', '1.0', '1.0', '7.0', '0.0', '2.0', '0.0', '3066.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '22.67', '2.54', '1.0', '8.0', '8.0', '2.585', '1.0', '0.0', '0.0', '0.0', '2.0', '0.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '60.08', '14.5', '2.0', '1.0', '1.0', '18.0', '1.0', '1.0', '15.0', '1.0', '2.0', '0.0', '1001.0'], 'gt': '1', 'pred': '0'}
{'label': ['0.0', '33.92', '1.585', '1.0', '1.0', '1.0', '0.0', '1.0', '0.0', '0.0', '0.0', '2.0', '320.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '23.0', '0.75', '2.0', '7.0', '4.0', '0.5', '1.0', '0.0', '0.0', '1.0', '1.0', '320.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '20.08', '1.25', '2.0', '8.0', '4.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '0.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '20.83', '0.5', '1.0', '10.0', '2.0', '1.0', '0.0', '0.0', '0.0', '0.0', '2.0', '260.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '67.75', '5.5', '2.0', '10.0', '9.0', '13.0', '1.0', '1.0', '1.0', '1.0', '2.0', '0.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '43.17', '5.0', '2.0', '3.0', '5.0', '2.25', '0.0', '0.0', '0.0', '1.0', '2.0', '141.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '34.83', '4.0', '2.0', '2.0', '5.0', '12.5', '1.0', '0.0', '0.0', '1.0', '2.0', '184.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '27.0', '0.75', '2.0', '8.0', '8.0', '4.25', '1.0', '1.0', '3.0', '1.0', '2.0', '312.0', '151.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '27.25', '1.585', '2.0', '13.0', '8.0', '1.835', '1.0', '1.0', '12.0', '1.0', '2.0', '583.0', '714.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '25.0', '11.0', '1.0', '6.0', '4.0', '4.5', '1.0', '0.0', '0.0', '0.0', '2.0', '120.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '29.58', '4.75', '2.0', '7.0', '4.0', '2.0', '0.0', '1.0', '1.0', '1.0', '2.0', '460.0', '69.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '23.75', '0.415', '1.0', '8.0', '4.0', '0.04', '0.0', '1.0', '2.0', '0.0', '2.0', '128.0', '7.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '45.33', '1.0', '2.0', '11.0', '4.0', '0.125', '0.0', '0.0', '0.0', '1.0', '2.0', '263.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '48.75', '26.335', '1.0', '1.0', '1.0', '0.0', '1.0', '0.0', '0.0', '1.0', '2.0', '0.0', '1.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '25.67', '12.5', '2.0', '13.0', '4.0', '1.21', '1.0', '1.0', '67.0', '1.0', '2.0', '140.0', '259.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '42.75', '3.0', '2.0', '3.0', '5.0', '1.0', '1.0', '0.0', '0.0', '0.0', '2.0', '0.0', '201.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '32.67', '9.0', '1.0', '9.0', '8.0', '5.25', '1.0', '0.0', '0.0', '1.0', '2.0', '154.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '31.57', '0.5', '2.0', '8.0', '5.0', '0.835', '1.0', '0.0', '0.0', '1.0', '1.0', '320.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '25.25', '12.5', '2.0', '2.0', '4.0', '1.0', '0.0', '0.0', '0.0', '1.0', '2.0', '180.0', '1063.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '28.75', '3.75', '2.0', '8.0', '4.0', '1.085', '1.0', '1.0', '1.0', '1.0', '2.0', '371.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '22.08', '11.0', '2.0', '13.0', '4.0', '0.665', '1.0', '0.0', '0.0', '0.0', '2.0', '100.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '28.0', '2.0', '2.0', '4.0', '8.0', '4.165', '1.0', '1.0', '2.0', '1.0', '2.0', '181.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '33.75', '2.75', '2.0', '3.0', '5.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '180.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '42.0', '9.79', '2.0', '14.0', '8.0', '7.96', '1.0', '1.0', '8.0', '0.0', '2.0', '0.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '21.92', '0.5', '2.0', '8.0', '4.0', '0.125', '0.0', '0.0', '0.0', '0.0', '2.0', '360.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '52.83', '15.0', '2.0', '8.0', '4.0', '5.5', '1.0', '1.0', '14.0', '0.0', '2.0', '0.0', '2201.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '22.75', '11.0', '2.0', '11.0', '4.0', '2.5', '1.0', '1.0', '7.0', '1.0', '2.0', '100.0', '810.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '36.33', '2.125', '1.0', '9.0', '4.0', '0.085', '1.0', '1.0', '1.0', '0.0', '2.0', '50.0', '1188.0'], 'gt': '1', 'pred': '0'}
{'label': ['0.0', '47.42', '3.0', '2.0', '14.0', '4.0', '13.875', '1.0', '1.0', '2.0', '1.0', '2.0', '519.0', '1705.0'], 'gt': '1', 'pred': '1'}
{'label': ['0.0', '27.58', '3.0', '2.0', '7.0', '4.0', '2.79', '0.0', '1.0', '1.0', '1.0', '2.0', '280.0', '11.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '28.58', '3.54', '2.0', '3.0', '5.0', '0.5', '1.0', '0.0', '0.0', '1.0', '2.0', '171.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '17.42', '6.5', '2.0', '3.0', '4.0', '0.125', '0.0', '0.0', '0.0', '0.0', '2.0', '60.0', '101.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '38.67', '0.21', '2.0', '4.0', '4.0', '0.085', '1.0', '0.0', '0.0', '1.0', '2.0', '280.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '19.17', '0.0', '1.0', '7.0', '5.0', '0.0', '0.0', '0.0', '0.0', '1.0', '1.0', '500.0', '2.0'], 'gt': '1', 'pred': '0'}
{'label': ['0.0', '31.57', '1.5', '2.0', '1.0', '1.0', '0.0', '0.0', '1.0', '2.0', '1.0', '2.0', '200.0', '106.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '27.83', '1.5', '2.0', '9.0', '4.0', '2.25', '0.0', '1.0', '1.0', '1.0', '2.0', '100.0', '4.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '32.92', '2.5', '2.0', '6.0', '4.0', '1.75', '0.0', '1.0', '2.0', '1.0', '2.0', '720.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '31.58', '0.75', '1.0', '6.0', '4.0', '3.5', '0.0', '0.0', '0.0', '1.0', '2.0', '320.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '68.67', '15.0', '2.0', '10.0', '9.0', '0.0', '1.0', '1.0', '14.0', '0.0', '2.0', '0.0', '3377.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '19.42', '1.5', '1.0', '13.0', '4.0', '2.0', '1.0', '0.0', '0.0', '1.0', '2.0', '100.0', '21.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '18.83', '9.5', '2.0', '9.0', '4.0', '1.625', '1.0', '1.0', '6.0', '1.0', '2.0', '40.0', '601.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '25.0', '12.0', '2.0', '4.0', '4.0', '2.25', '1.0', '1.0', '2.0', '1.0', '2.0', '120.0', '6.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '20.67', '0.415', '2.0', '8.0', '4.0', '0.125', '0.0', '0.0', '0.0', '0.0', '2.0', '0.0', '45.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '17.67', '4.46', '2.0', '8.0', '4.0', '0.25', '0.0', '0.0', '0.0', '0.0', '1.0', '80.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '24.75', '13.665', '2.0', '11.0', '8.0', '1.5', '0.0', '0.0', '0.0', '0.0', '2.0', '280.0', '2.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '22.08', '2.335', '2.0', '4.0', '4.0', '0.75', '0.0', '0.0', '0.0', '0.0', '2.0', '180.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '36.42', '0.75', '1.0', '2.0', '4.0', '0.585', '0.0', '0.0', '0.0', '0.0', '2.0', '240.0', '4.0'], 'gt': '0', 'pred': '0'}
{'label': ['0.0', '24.5', '2.415', '1.0', '8.0', '4.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '120.0', '1.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '22.58', '1.5', '1.0', '6.0', '4.0', '0.54', '0.0', '0.0', '0.0', '1.0', '2.0', '120.0', '68.0'], 'gt': '0', 'pred': '1'}
{'label': ['0.0', '49.83', '13.585', '2.0', '4.0', '8.0', '8.5', '1.0', '0.0', '0.0', '1.0', '2.0', '0.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '48.17', '3.5', '2.0', '6.0', '4.0', '3.5', '1.0', '0.0', '0.0', '0.0', '1.0', '230.0', '1.0'], 'gt': '1', 'pred': '0'}
{'label': ['1.0', '40.0', '6.5', '2.0', '6.0', '5.0', '3.5', '1.0', '1.0', '1.0', '0.0', '2.0', '0.0', '501.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '36.17', '0.42', '1.0', '9.0', '4.0', '0.29', '0.0', '0.0', '0.0', '1.0', '2.0', '309.0', '3.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '17.58', '10.0', '2.0', '9.0', '8.0', '0.165', '0.0', '1.0', '1.0', '0.0', '2.0', '120.0', '2.0'], 'gt': '0', 'pred': '1'}
{'label': ['1.0', '19.5', '9.585', '2.0', '6.0', '4.0', '0.79', '0.0', '0.0', '0.0', '0.0', '2.0', '80.0', '351.0'], 'gt': '0', 'pred': '0'}
{'label': ['1.0', '22.67', '1.585', '1.0', '9.0', '4.0', '3.085', '1.0', '1.0', '6.0', '0.0', '2.0', '80.0', '1.0'], 'gt': '1', 'pred': '1'}
{'label': ['1.0', '26.67', '4.25', '2.0', '13.0', '4.0', '4.29', '1.0', '1.0', '1.0', '1.0', '2.0', '120.0', '1.0'], 'gt': '1', 'pred': '1'}
